Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
200514B024805,1,2005-02-21,Slight,Car,428680,398420
200514C112905,1,2005-07-13,Slight,Car,439310,391810
200514C112905,2,2005-07-13,Slight,Car,439310,391810
200514C169205,1,2005-10-25,Slight,Car,439320,391830
200514C178905,1,2005-11-04,Slight,Car,440650,390320
200514C178905,2,2005-11-04,Slight,Car,440650,390320
200514D000305,1,2005-01-02,Slight,Car,435510,385780
200514D000505,1,2005-01-03,Slight,Car,438760,386110
200514D000605,1,2005-01-03,Slight,Car,436090,385420
200514D000805,1,2005-01-01,Slight,Car,435660,389340
200514D001005,1,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001005,2,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001005,3,2005-01-04,Slight,Light goods vehicles,439950,390860
200514D001305,1,2005-01-05,Slight,Bus or Coach,434970,386410
200514D001305,2,2005-01-05,Slight,Bus or Coach,434970,386410
200514D001405,1,2005-01-04,Slight,Car,436280,391570
200514D001405,2,2005-01-04,Slight,Car,436280,391570
200514D001405,3,2005-01-04,Slight,Car,436280,391570
200514D001605,1,2005-01-05,Slight,Car,436370,392020
200514D001805,1,2005-01-05,Slight,Car,435860,389630
200514D001905,1,2005-01-01,Slight,Car,436550,387700
200514D002205,1,2005-01-03,Slight,Bus or Coach,435440,388390
200514D002605,1,2005-01-11,Slight,Pedestrian,439580,385130
200514D003405,1,2005-01-05,Slight,Pedestrian,435640,387620
200514D003705,1,2005-01-11,Slight,Car,439360,386550
200514D003705,2,2005-01-11,Slight,Car,439360,386550
200514D003805,1,2005-01-07,Slight,Car,434760,386660
200514D004105,1,2005-01-12,Slight,Car,439800,390790
200514D004105,2,2005-01-12,Slight,Car,439800,390790
200514D004205,1,2005-01-12,Slight,Light goods vehicles,436000,386190
200514D004305,1,2005-01-12,Serious,Pedestrian,435650,389430
200514D004505,1,2005-01-13,Slight,Bus or Coach,435750,387810
200514D004905,1,2005-01-15,Slight,Car,436510,386450
200514D005105,1,2005-01-14,Slight,Car,435640,386510
200514D005105,2,2005-01-14,Serious,Car,435640,386510
200514D005305,1,2005-01-13,Slight,Car,435890,387690
200514D005305,2,2005-01-13,Slight,Car,435890,387690
200514D005605,1,2005-01-12,Slight,Car,435520,389070
200514D005705,1,2005-01-17,Slight,Pedestrian,438720,389670
200514D005805,1,2005-01-15,Slight,Car,438830,386370
200514D005805,2,2005-01-15,Slight,Car,438830,386370
200514D006105,1,2005-01-14,Slight,Pedestrian,435260,387520
200514D006205,1,2005-01-06,Slight,Bus or Coach,435550,387720
200514D006405,1,2005-01-16,Slight,Car,439110,390170
200514D006405,2,2005-01-16,Slight,Car,439110,390170
200514D006505,1,2005-01-11,Slight,Pedestrian,439010,390070
200514D006605,1,2005-01-14,Serious,Pedestrian,435880,389440
200514D006805,1,2005-01-08,Slight,Car,436660,389230
200514D006805,2,2005-01-08,Slight,Car,436660,389230
200514D006905,1,2005-01-14,Slight,Pedal Cycle,436310,389790
200514D007105,1,2005-01-08,Slight,Car,438820,390630
200514D007205,1,2005-01-10,Slight,Pedestrian,436810,391380
200514D007305,1,2005-01-06,Slight,Pedestrian,435350,387070
200514D007605,1,2005-01-20,Slight,Pedestrian,435700,387100
200514D007705,1,2005-01-19,Slight,Car,438840,386370
200514D008205,1,2005-01-21,Serious,Car,436380,390040
200514D008205,2,2005-01-21,Serious,Car,436380,390040
200514D008205,3,2005-01-21,Serious,Car,436380,390040
200514D008205,4,2005-01-21,Slight,Car,436380,390040
200514D008205,5,2005-01-21,Serious,Car,436380,390040
200514D008305,1,2005-01-23,Fatal,Car,438140,390480
200514D008505,1,2005-01-20,Serious,Motorcycle,434990,388000
200514D008805,1,2005-01-19,Slight,Car,437980,390680
200514D008905,1,2005-01-18,Slight,Car,435900,387730
200514D009405,1,2005-01-25,Slight,Pedestrian,435670,386800
200514D009505,1,2005-01-15,Slight,Car,438980,392220
200514D009505,2,2005-01-15,Slight,Car,438980,392220
200514D009605,1,2005-01-20,Slight,Car,436440,388110
200514D009705,1,2005-01-10,Slight,Bus or Coach,435840,386530
200514D010105,1,2005-01-25,Serious,Pedestrian,435720,387490
200514D010205,1,2005-01-23,Slight,Car,437350,393520
200514D010505,1,2005-01-22,Slight,Pedestrian,438300,389330
200514D010605,1,2005-01-18,Slight,Car,437440,392800
